sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
walk1_subject1_frames_1_180_state_fixture_window_0016	walk1_subject1_frames_1_180	21	99	32	29	4	0.00012085117924510777	0.00010667415640418305	0.024133242666721344	1.3909362674335453	0.04907828395555392	0.042627664977588964	1.1787191179236243	True
walk1_subject1_frames_1_180_state_fixture_window_0017	walk1_subject1_frames_1_180	21	99	32	29	4	8.449573944972908e-05	0.0001713099520781964	0.02631238102912903	1.3674581975372528	0.04195602997192318	0.060530103415572335	1.2384814751674662	True
walk1_subject1_frames_1_180_state_fixture_window_0018	walk1_subject1_frames_1_180	21	99	32	29	4	0.00023779811941371674	0.00025207054685611493	0.034291647374629974	1.3836295017142088	0.05256316812254208	0.07689269850436753	1.1803200159010638	True
walk1_subject1_frames_1_180_state_fixture_window_0019	walk1_subject1_frames_1_180	21	99	32	29	4	0.00029729694661706675	0.00021589168771491245	0.040159761905670166	1.3237013935719788	0.07329080027769878	0.07568189103654556	1.0354938760063468	True
walk1_subject1_frames_1_180_state_fixture_window_0020	walk1_subject1_frames_1_180	21	99	32	29	4	0.00028978139615062453	0.00021873531285558536	0.04311767499893904	1.3029437478628165	0.08637992186247172	0.07589335821012874	0.9952332038867618	True
walk1_subject1_frames_1_180_state_fixture_window_0021	walk1_subject1_frames_1_180	21	99	32	29	4	0.00017176963704542772	0.00023751153616022072	0.028768599033355713	1.2275110086206642	0.06970132235012019	0.1098899094222023	1.0657728089187661	True
walk1_subject1_frames_1_180_state_fixture_window_0022	walk1_subject1_frames_1_180	21	99	32	29	4	0.0003003359062985598	0.000288823645967381	0.0427168607711792	1.4091787068128379	0.23710463032808698	0.1207054854232176	1.5145278380284701	True
walk1_subject1_frames_1_180_state_fixture_window_0023	walk1_subject1_frames_1_180	21	99	32	29	4	0.00031292492092581224	0.00029956625308135104	0.04149818420410156	1.8051613487604234	0.12327261413425118	0.10874357572770865	1.8462898732408781	True
walk1_subject1_frames_1_180_state_fixture_window_0024	walk1_subject1_frames_1_180	21	99	32	29	4	0.0002935813469901039	0.0003188040105800812	0.050484709441661835	1.935132462904568	0.09117906118896578	0.13976098195097283	1.4783758065771953	True
walk1_subject1_frames_1_180_state_fixture_window_0025	walk1_subject1_frames_1_180	21	99	32	29	4	0.0005205389334352113	0.00044688663118560635	0.04939676821231842	1.476241691859077	0.13930714705069708	0.156728196206021	1.1374297284990145	True
walk1_subject1_frames_1_180_state_fixture_window_0026	walk1_subject1_frames_1_180	21	99	32	29	4	0.000330666603982438	0.0003431084708108928	0.034017391968518496	1.5976467685030744	0.14786448031008334	0.12322964536746331	1.132580260244784	True
walk1_subject1_frames_1_180_state_fixture_window_0027	walk1_subject1_frames_1_180	21	99	32	29	4	0.0003648186607068631	0.0004614883359861264	0.0428619384765625	1.6152368038839011	0.0932036454645896	0.11965362166098444	1.0605029068883145	True
